facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
1201 TODD AV CONSTRUCTION SITE,1201 TODD AVE,AZUSA,CA,91702,CWA,No,,
1203 E ELMWOOD,1203 E ELMWOOD AV,BURBANK,CA,91501,CWA,No,,
1211 BALFOUR HWY 4,HWY 4,BRENTWOOD,CA,94513,CWA,No,,
1211 S OLIVE STREET DEVELOPMENT LP,1211 SOUTH OLIVE STREET,LOS ANGELES,CA,90015,CWA,No,,
121844 LA 5 HOV RETAINING WALLS,ROUTE 5 AND134 SEPARATION TO MAGNOLIA,BURBANK,CA,91505,CWA,No,01/23/2019,
1218W4 LA 5 REALIGNMENT AND RECONFIGURE ON & OFF RAMPS,BUENA VISTA ST AND ROUTE 5,BURBANK,CA,91501,CWA,No,03/01/2019,
1254 INDUSTRIES LLC,1444 ALPINE PL,SAN MARCOS,CA,92078,CWA,No,,
1270 COLUMBIA ST AT A ST,1270 COLUMBIA,SAN DIEGO,CA,92101,CWA,No,,
12TH ST IMPROVEMENTS,12TH AND LAKESHORE AVE,OAKLAND,CA,94607,CWA,No,,
1310 3RD AVE,1310 3RD AVE,CHULA VISTA,CA,00000,CWA,No,,
1315- LODI PORTABLE BATCH PLANT,5100 WEST HIGHWAY 12,LODI,CA,95242,CWA,No,,
1325 OLD COUNTY ROAD,1325 OLD COUNTY,BELMONT,CA,94002,CWA,No,,
13250 JEFFERSON BLVD,13250 JEFFERSON,LOS ANGELES,CA,90094,CWA,No,,
135 BELL CANYON,UNKNOWN,CALABASAS,CA,00000,CWA,No,,
1355 IMPERIAL,1355 W IMPERIAL HIGHWAY,BREA,CA,92821,CWA,Yes,05/03/2023,
138204 LA 47 REPLACE BRIDGE,ROUTE 47 FROM PM 4 TO PM 5,LONG BEACH,CA,90802,CWA,No,10/26/2018,
13TH ST SPORTS COMPLEX,13TH ST BTWN YUCAIPA BLVD CHAMPAN HEIGHTS RD,YUCAIPA,CA,92399,CWA,No,,
1412- MORGAN HILL PLANT,SAN MARTIN AVE,MORGAN HILL,CA,94550,CWA,No,,
144 BARODA DR,144 BARODA DR,LOS ANGELES,CA,90077,CWA,Yes,05/02/2024,
144 BARODA DR,144 BARODA DR,LOS ANGELES,CA,90077,CWA,No,,
144TH FW FRESNO CA,5323 E MCKINLEY,FRESNO,CA,93727,CWA,No,,
1450 RINCON STREET,UNKNOWN,CORONA,CA,92880,CWA,No,,
150 EL CAMINO DRIVE OFFICE BUILDING,150 EL CAMINO,BEVERLY HILLS,CA,90212,CWA,No,02/28/2023,
1500 N CALIFORNIA BLVD MIXED USE DEVELOPMENT,1500 N CALIFORNIA BLVD,WALNUT CREEK,CA,94596,CWA,No,,
"1501 PAGE MILL RD, HP B1-6",1501 PAGE MILL,PALO ALTO,CA,94304,CWA,No,,
1503 VENICE BLVD APARTMENTS,1503 VENICE,LOS ANGELES,CA,90291,CWA,No,,
151 TARA ROAD,151 TARA ROAD,EAST PALO ALTO,CA,94503,CWA,No,02/02/2024,
1510 ACQUISITION,1510 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,CWA,No,,
1520 ACQUISITION,1520 DIAMOND MOUNTAIN RD,CALISTOGA,CA,94515,CWA,No,,
1525 ABBOT KINNEY BLVD. BUILDING,1525 ABBOT KINNEY,LOS ANGELES,CA,90291,CWA,No,,
153 W ROSECRANS AVENUE STORAGE LLC,153 W ROSECRANS AVE,ROSEWOOD,CA,90248,CWA,No,08/09/2019,
1544 BUENA VISTA DRIVE UNAUTH FILL SITE,1544BUENA VISTA,WATSONVILLE,CA,95076,CWA,No,,
1600 WILSHIRE,1600 WILSHIRE,LOS ANGELES,CA,90017,CWA,No,09/10/2020,
1614-1618 HILTS AVE.,1614 HILTS,LOS ANGELES,CA,90024,CWA,No,,
1620 ELECTRIC AVE. JOINT VENTURE,1620 ELECTRIC,LOS ANGELES,CA,90291,CWA,No,,
1637U  SF 101 PHASE 2 PRESIDIO PARKWAY PROJECT,RT 101 FROM 1 MILE SOUTH TO HALF MILE NORTH OF ROU,SAN FRANCISCO,CA,94129,CWA,No,,
165 WOODRIDGE ROAD,165 WOODRIDGE ROAD,HILLSBOROUGH,CA,94010,CWA,No,01/15/2020,111998
16501 VENTURA,16501 VENTURA,ENCINO,CA,91436,CWA,No,06/16/2021,
17 CREST ROAD,17 CREST ROAD,ROLLING HILLS,CA,90274,CWA,No,,
1720 VILLA STREET,1720 VILLA,MOUNTAIN VIEW,CA,94040,CWA,No,,
17433 TRAMONTO DRIVE,17433 TRAMONTO DRIVE,PACIFIC PALISADES,CA,90272,CWA,No,,
1811 OAK AVE LOTS,1811 OAK AVE,CARLSBAD,CA,92008,CWA,No,,
185 ROBERTA DRIVE,185 ROBERTA DRIVE,WOODSIDE,CA,94062,CWA,No,,
18770 FLYING TIGER DR,18770 FLYING TIGER DR,LOS ANGELES,CA,90013,CWA,No,12/02/2009,
19 UNIT APARTMENT,1064-1070 SOUTH BEDFORD,LOS ANGELES,CA,90035,CWA,No,,
1900 BROADWAY,1900 BROADWAY,OAKLAND,CA,94612,CWA,No,,
1942 THE STRAND,1942 THE STRAND,HERMOSA BEACH,CA,90254,CWA,No,,
195 205 TAMAL VISTA BOULEVARD,195 TAMLA VISTA,CORTE MADERA,CA,94925,CWA,No,01/16/2019,
1959,14946 SHOEMAKER AVE SUITE I,LOS ANGELES,CA,90670,CWA,No,09/27/2024,
19606 SHELYN DR,19606 SHELYN DR,ROWLAND HEIGHTS,CA,91748,CWA,No,,
1962,10649 SIERRA RD,OAKDALE,CA,95361,CWA,No,,
1999 STONE LLC,1999 STONE AVENUE,SAN JOSE,CA,95125,CWA,No,,
19TH AVE,19TH,SAN FRANCISCO,CA,00000,CWA,No,,
