facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code,contact_name,contact_email,contact_title,generated_email_copy
06 442544TEMPORARY CRUSHER PLANT,NB 5 FREEWAY AT WB HIGHWAY 46,LOST HILLS,CA,91342,CWA,No,,,Gary ,No Email Found,CEO/President,Failed to generate email.
06342534 TEMPORARY BATCH PLANT,E HWY 180,CENTERVILLE,CA,93657,CWA,No,,,Gary ,No Email Found,CEO/President,Failed to generate email.
