facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
A 1 METALS &  AUTO SALVAGE INC,5795 STOCKDALE RD,PASO ROBLES,CA,93446,CWA,No,05/18/2022,
A ALPHA WAVEGUIDE INC,1217 E EL SEGUNDO BLVD,LOS ANGELES,CA,CA,CWA,No,06/18/2021,
A AND M DISMANTLING INC,716 BELL AVE,SACRAMENTO,CA,95838,CWA,No,,
A BETTER BID CA LLC,2821 S INDUSTRIAL DR UNIT B,BLOOMINGTON,CA,92316,CWA,No,,
A BETTER BOX COMPANY,8689 BOWERS AVE,SOUTH GATE,CA,90280,CWA,No,08/19/2019,
A CAR AUTO WRECKING INC,10756 KADOTA AVE,MONTCLAIR,CA,91763,CWA,No,,
A F M ENGINEERING INC,1313 E BORCHARD AVE,SANTA ANA,CA,92705,CWA,No,02/08/2019,
A F M ENGINEERING INC,1313 E BORCHARD AVE,SANTA ANA,CA,92705,CWA,No,,
A F MACHINE & TOOL CO INC,950 W HYDE PARK BLVD,INGLEWOOD,CA,90302,CWA,No,09/12/2019,
A GEO DIACK INC,1250 S JOHNSON DR,CITY OF INDUSTRY,CA,91745,CWA,No,,
A GERMAN AUTO WRECKING INC,301 SAN JOSE AVE,SAN JOSE,CA,95125,CWA,No,,
A H MACHINE INC,214 N CEDAR AVE,INGLEWOOD,CA,90301,CWA,No,09/12/2019,
A J FASTENERS INC,2800 E MIRALOMA AVE,ANAHEIM,CA,92806,CWA,No,,
A L GILBERT CO,304 N YOSEMITE AVE,OAKDALE,CA,95361,CWA,No,,
A LA ROCCA SEA FOOD INC,PIER 45 BLD B10,SAN FRANCISCO,CA,94133,CWA,No,,
A LUA RECYCLING INC,16090 MOUNTAIN AVENUE,CHINO,CA,91760,CWA,No,,
A M FINISHING INC,928 E SOUTH ST,ANAHEIM,CA,92805,CWA,No,,
A M FINISHING INC,928 E SOUTH ST,ANAHEIM,CA,92805,CWA,No,,
A M FINISHING INC,1273 N GROVE ST,ANAHEIM,CA,92806,CWA,No,05/13/2019,
A M P S MACHINING LLC,384  UMBARGER RD A.,SAN JOSE,CA,95111,CWA,No,,
A M S TRANSPORTATION CO,1700 24TH,OAKLAND,CA,94607,CWA,No,,
A NEW VIEW WINDOWS & DOORS INC,3445 E LA PALMA AVE,ANAHEIM,CA,92806,CWA,No,,
A P X GEAR LLC,1816 N AMERICAN ST,ANAHEIM,CA,92801,CWA,No,09/21/2018,
A PLUS LABEL CORP,3215 W WARNER AVE,SANTA ANA,CA,92704,CWA,No,,
A PLUS MACHINING INC,1619 W 135TH ST,GARDENA,CA,90249,CWA,No,11/14/2023,
A PLUS PRECISION MACHINING INC,1390 FLYNN RD # G,CAMARILLO,CA,93012,CWA,No,,
A RAFANELLI WINERY & VINEYARDS LP,4685 WEST DRY CREEK ROAD,HEALDSBURG,CA,95448,CWA,No,,
A TO Z BUS SALES INC,1900 SOUTH RIVERSIDE AVENUE,COLTON,CA,92324,CWA,No,,
A TRIBUTE TO GRACE WINE COMPANY,53 INDUSTRIAL WAY,BUELLTON,CA,93427,CWA,No,,
A WINE VALLEY EXPERIENCE LIMOUSINE INC,933 WATER ST,NAPA,CA,94559,CWA,No,10/18/2019,
A&A FABRICATION AND POLISHING CORPORATION,610 SOUTH VAIL AVENUE,MONTEBELLO,CA,90640,CWA,Yes,,
A&A TOOL&DIE MACHINING CORP,1266 SOUTH LYON STREET,SANTA ANA,CA,92705,CWA,No,02/08/2019,
"A&B AUTO SALVAGE, INC",1034 EAST CESAR E CHAVEZ,LOS ANGELES,CA,90033,CWA,No,10/15/2021,
A&J PROTOTYPING AND TOOLING INC,2670 WALNUT AVE,TUSTIN,CA,92780,CWA,No,,
A&M BIAS CORPORATION,2618 E 53RD ST,HUNTINGTON PARK,CA,90255,CWA,No,,
A-1 JAY'S MACHINING INC,2228  OAKLAND RD,SAN JOSE,CA,95131,CWA,No,,
A-H PLATING INC,1837 VICTORY PL,BURBANK,CA,91501,CWA,No,09/05/2006,
"A-W ENGINEERING CO., INC","8528 DICE ROAD, -",SANTA FE SPRINGS,CA,90670,CWA,No,01/29/2018,
"A.I.C. UPHOLSTERY, INC.",2415 56TH STREET,VERNON,CA,90058,CWA,No,06/19/2018,
A1 AUTO DISMANTLERS INC,2707 PITTSBURG ANTIOCH A,ANTIOCH,CA,94509,CWA,No,,
A1 ENGRAVING CO. DBA DIVERSIFIED IMAGES INC.,8225 PHLOX STREET,DOWNEY,CA,90241,CWA,No,,
A1 GRIT COMPANY,1901 MASSACHUSETTS AVE,RIVERSIDE,CA,92507,CWA,No,06/21/2022,112112
A1 METAL PRODUCTS INC,2707 SUPPLY AVENUE,COMMERCE,CA,90040,CWA,Yes,11/16/2021,
A1 METAL PRODUCTS INC,2707 SUPPLY AVENUE,COMMERCE,CA,90040,CWA,No,08/13/2018,
A1 RECYCLING CO INC,2655 ELKHORN BLVD,RIO LINDA,CA,95673,CWA,Yes,02/10/2022,
A1 RECYCLING INC.,2655 ELKHORN BLVD,RIO LINDA,CA,95673,CWA,No,,
A1 SHOWER DOOR CO,2019 S RITCHEY ST,ANAHEIM,CA,92705,CWA,No,,
"A20 WATER COMPANY, INC.","727 BREA CANYON RD., UNIT 9",DIAMOND BAR,CA,91789,CWA,No,,
A2Z PLATING CO,1467 S SUNOL DRIVE,LOS ANGELES,CA,90023,CWA,Yes,05/16/2025,
AAA AUTO RECYCLING LLC,42130 COUNTY ROAD 25,WOODLAND,CA,95776,CWA,No,,
AAA FOREIGN AUTO RECYCLING INC,1851 NIRVANA AVE,CHULA VISTA,CA,91913,CWA,No,,
AAA PLATING  INSPECTION INC,424 DIXON,COMPTON,CA,90222,CWA,Yes,,
AAERO SWISS INC,22347 LA PALMA AVE,YORBA LINDA,CA,92887,CWA,No,,
AAK USA RICHMOND CORP,1145 HARBOUR WAY SOUTH,RICHMOND,CA,94804,CWA,Yes,01/12/2023,
AARDVARK CLAY  SUPPLIES INC,1400 E POMONA ST,SANTA ANA,CA,92705,CWA,No,,
AARON METALS CO INC,750 105TH AVE,OAKLAND,CA,94603,CWA,No,,
AARON METALS CO INC,750 105TH AVE,OAKLAND,CA,94603,CWA,No,06/28/2012,
AARON METALS HAYWARD INC,25101 CLAWITER ROAD,HAYWARD,CA,94545,CWA,No,11/29/2022,
AARONS TRUCK SALVAGE INC,1026 EAST CESAR CHAVEZ AVE,LOS ANGELES,CA,90033,CWA,No,09/05/2018,
"AASE BROTHERS, INC",709 E ADELE,ANAHEIM,CA,92805,CWA,No,,
AAW INC,13900 S BROADWAY,LOS ANGELES,CA,90061,CWA,Yes,05/02/2024,
AB DIE CASTING CO BENDA,900 ALFRED NOBEL DR,HERCULES,CA,94547,CWA,No,,
AB TRUCK TRUCK PARTS CO,15204 ARROW,BALDWIN PARK,CA,91706,CWA,No,01/19/2023,
ABA DABA RENTS INC,7448 AUBURN BLVD,CITRUS HEIGHTS,CA,95610,CWA,No,06/29/2022,
ABA ENERGY CORPORATION,VBC #1 SOURGRASS ROAD,CORNING,CA,17880,CWA,No,08/24/2011,
ABA ENERGY CORPORATION,VBC #2 - UNNAMED ROAD,CORNING,CA,177880,CWA,No,08/24/2011,
ABACOR INC,766 GABLE WAY,EL CAJON,CA,92020,CWA,Yes,,
ABAXIS INC,3240 WHIPPLE ROAD,UNION CITY,CA,94587,CWA,No,,
ABAXIS INC,3280 WHIPPLE ROAD,UNION CITY,CA,94587,CWA,No,,
ABAXIS INC,30411 WHIPPLE ROAD,UNION CITY,CA,94587,CWA,No,,
ABB INC,3601 E LA PALMA AVE,ANAHEIM,CA,92806,CWA,No,08/08/2018,
ABBOTT CARDIOVASCULAR SYSTEMS INC,26531 YNEZ RD,TEMECULA,CA,92591,CWA,No,,
ABBOTT LABORATORIES INC,2302 COURAGE DR AND 2351 WATNEY,FAIRFIELD,CA,94533,CWA,Yes,,
ABBOTT MEDICAL OPTICS INC,1700 EAST SAINT ANDREW PLACE,SANTA ANA,CA,92705,CWA,No,,
ABC BATTERY INC,10810 GARFIELD AVENUE,SOUTH GATE,CA,90280,CWA,No,08/22/2019,
ABC BUS INC,7980 ENTERPRISE AVENUE,NEWARK,CA,94063,CWA,No,,
ABC BUS INC,3508 HAVEN AVENUE,REDWOOD CITY,CA,94063,CWA,No,,
ABC BUS INC,1485 DALE WAY,COSTA MESA,CA,92626,CWA,No,,
ABC SHEET METAL INC,2871 E LA CRESTA AVE,ANAHEIM,CA,92806,CWA,No,,
ABC SUPPLY CO INC,1428 W MISSION BLVD,ONTARIO,CA,91762,CWA,Yes,,
ABCORE INC,405 MAPLE STREET SUITE A106,RAMONA,CA,92065,CWA,No,06/22/2022,
ABDO MANUFACTURING CO.,25133 AVENUE TIBBITTS UNIT K,SANTA CLARITA,CA,91355,CWA,No,07/10/2018,
ABET INC,3415 REGATTA BLVD,RICHMOND,CA,94804,CWA,No,10/25/2019,
ABF FREIGHT SYS INC,330 S TEILMAN AVE,FRESNO,CA,93706,CWA,No,,
ABF FREIGHT SYSTEM INC,1601 N BATAVIA,ORANGE,CA,92867,CWA,No,04/19/2019,
ABF FREIGHT SYSTEM INC,2427 W YOSEMITE AVE,MANTECA,CA,95337,CWA,No,,
ABF FREIGHT SYSTEM INC,3250 47TH AVE,SACRAMENTO,CA,95824,CWA,No,03/23/2022,
ABF FREIGHT SYSTEM INC,4575 TIDEWATER AVE,OAKLAND,CA,94601,CWA,No,,
ABF FREIGHT SYSTEM INC,7075 CARROL ROAD,SAN DIEGO,CA,92121,CWA,No,,
ABF FREIGHT SYSTEM INC,3233 LOOMIS ROAD,STOCKTON,CA,95202,CWA,No,03/18/2025,
ABF FREIGHT SYSTEM INC,33210 CYRIL PLACE,KETTLEMAN CITY,CA,93239,CWA,No,,
ABF FREIGHT SYSTEM INC,965 MULHARDT,OXNARD,CA,93030,CWA,No,01/19/2018,
ABF FREIGHT SYSTEM INC,405 E ALONDRA BLVD,COMPTON,CA,90221,CWA,No,03/28/2018,
ABF FREIGHT SYSTEM INC,12200 MONTAGUE ST,PACOIMA,CA,91331,CWA,No,,
ABF FREIGHT SYSTEM INC,8001 TELEGRAPH RD,PICO RIVERA,CA,90660,CWA,No,01/23/2018,
ABF FREIGHT SYSTEM INC,2135 OTOOLE AVE,SAN JOSE,CA,95131,CWA,No,,
ABF FREIGHT SYSTEM INC,3307 GULF STREET,BAKERSFIELD,CA,93308,CWA,No,,
ABF FREIGHT SYSTEM INC,10744 ALMOND AVE,FONTANA,CA,92337,CWA,No,04/22/2019,
ABIAN INC,4501 E 50TH ST,VERNON,CA,90058,CWA,No,,
ABIGAIL INVESTMENTS LLC,12252 WOODRUFF AVE,DOWNEY,CA,90241,CWA,No,,
ABLE CARD LLC,1300 WEST OPTICAL DRIVE SUITE 600,AZUSA,CA,91702,CWA,No,03/07/2019,
ABLE CARD LLC,1388 WEST FOOTFILL BOULEVARD,AZUSA,CA,91702,CWA,Yes,04/19/2024,
ABLE METAL PLATING INC,932 86TH AVENUE,OAKLAND,CA,94621,CWA,No,,
ABLE TRADER CORPORATION,4030 WEST VALLEY BOULEVARD SUITE 111,WALNUT,CA,91789,CWA,No,03/05/2019,
ABLE WIRE EDM INC,440 ATLAS STREET,BREA,CA,92821,CWA,No,,
"ABRASIVE WHEELS, INC",17841 EAST VALLEY BLVD.,INDUSTRY,CA,91744,CWA,No,07/03/2019,
ABRATEC SWISS PRECISION INC,2221 CELSIUS AVE,OXNARD,CA,93030,CWA,No,03/22/2022,
ABRATEC SWISS PRECISION INC,2241 CELSIUS AVE,OXNARD,CA,93030,CWA,No,,
ABRATEC SWISS PRECISION INC,2241 EAST CELSIUS AVENUE UNIT A,OXNARD,CA,93030,CWA,No,04/05/2019,
ABS PRODUCTS INC,591 APOLLO ST,BREA,CA,92821,CWA,No,,
ABS SEAFOOD INC,PIER 45 SHED D 1,SAN FRANCISCO,CA,94133,CWA,Yes,05/30/2019,
ABSTRACT DESINGZ LLC,926 WESTERN AVE A,GLENDALE,CA,91201,CWA,No,08/14/2019,
ABYSS CREATIONS LLC,475 E CARMEL ST,SAN MARCOS,CA,92078,CWA,No,,
AC PRODUCTS INC,172 E LA JOLLA ST,PLACENTIA,CA,92870,CWA,No,,
ACAPULCO POLISHING CORP,524 E EUCLID AVE,COMPTON,CA,90222,CWA,No,02/27/2018,
ACAPULCO POLISHING CORP,524 EAST EUCLID AVENUE,COMPTON,CA,90222,CWA,No,08/23/2017,
ACC PRECISION INC,321 HEARST DRIVE,OXNARD,CA,93030,CWA,Yes,07/14/2023,
ACCEL MATERIALS INC,1370 TITAN WAY,BREA,CA,92821,CWA,No,,
ACCENT INDUSTRIES INC,1600 E SAINT GERTRUDE PL,SANTA ANA,CA,92705,CWA,No,,
ACCENT INDUSTRIES INC,1600 E ST GERTRUDE PLACE,SANTA ANA,CA,92705,CWA,No,,
ACCESS BIOLOGICALS LLC,995 PARK CENTER DRIVE,VISTA,CA,92081,CWA,No,,
ACCESS BUSINESS GROUP LLC,5600 BEACH BOULEVARD,BUENA PARK,CA,90622,CWA,No,,
ACCESS STEEL FABRICATING INC,9900 SAN FERNANDO ROAD,PACOIMA,CA,91331,CWA,Yes,03/15/2024,
"ACCESS STEEL FABRICATING, INC",9900 SAN FERNANDO ROAD,PACOIMA,CA,91331,CWA,No,,
ACCO BRANDS INC,2830 E PHILADELPHIA ST,ONTARIO,CA,91761,CWA,No,,
ACCRATRONICS SEALS CORP,2211 KENMERE AVE,BURBANK,CA,91504,CWA,Yes,01/24/2023,
"ACCU CHEM CONVERSION, INC.",13226 NELSON AVENUE,INDUSTRY,CA,91746,CWA,No,02/02/2011,
ACCU GRAPHICS INC,3846 S SANTA FE AVE,VERNON,CA,90058,CWA,No,,
ACCURATE ANODIZING INC,1801 EL SEGUNDO,COMPTON,CA,90222,CWA,No,,
ACCURATE INDUSTRIAL CONSTRUCTION INC,1140 N VAN HORNE WY,ANAHEIM,CA,92806,CWA,No,,
ACCURATE INDUSTRIAL CONSTRUCTION INC,1140 N VAN HORNE WY,ANAHEIM,CA,92806,CWA,No,09/21/2018,
ACCURATE MANUFACTURING COMPANY INCORPORATED,1073 SHARY CIR STE A,CONCORD,CA,94518,CWA,No,,
ACCURATE PLATING CO,2811 ALCAZAR ST,LOS ANGELES,CA,90033,CWA,No,,
ACCURATE TECHNOLOGY MFG INC,930  THOMPSON PLACE.,SUNNYVALE,CA,94085,CWA,No,,
ACCURIDE INTERNATIONAL INC.,1749 STERGIOS ROAD,CALEXICO,CA,92231,CWA,No,12/22/2022,
ACCUSEAL SENCORPWHITE INC,225 BINGHAM DR SUITE B,SAN MARCOS,CA,92069,CWA,No,,
ACCUTEC MANUFACTURING INC,1027 S LINWOOD AVE,SANTA ANA,CA,92705,CWA,No,,
ACD LLC,2321 S PULLMAN STREET,SANTA ANA,CA,92705,CWA,No,,
ACD LLC,2321 S PULLMAN ST,SANTA ANA,CA,92705,CWA,No,06/18/2018,
ACE AIR MANUFACTURING INC,1430 WEST 135TH STREET,GARDENA,CA,90249,CWA,No,,
ACE AUTO WRECKERS INC,2736 W HATCH RD,MODESTO,CA,95358,CWA,No,02/07/2018,
"ACE CALENDERING ENT.., CORP.",1311 SOUTH WANAMAKER AVENUE,ONTARIO,CA,91761,CWA,No,,
ACE COMPOSITES INC,1394 SKY HARBOR DRIVE,OLIVEHURST,CA,95691,CWA,No,,
ACE FASTENERS LLC,1509 N KRAEMER BLVD UNIT G,ANAHEIM,CA,92806,CWA,No,10/11/2017,
ACE FASTENERS LLC,1509 N KRAEMER BLVD,ANAHEIM,CA,92806,CWA,No,,
ACE MACHINE SHOP INC.,11200 WRIGHT ROAD,LYNWOOD,CA,90262,CWA,No,12/04/2023,
ACE PLEATING & STITCHING INC,2351 E 49TH ST,VERNON,CA,90058,CWA,No,,
ACE WELDING AND FABRICATION INC,1325 S COAST HWY,OCEANSIDE,CA,92054,CWA,No,,
ACES WASTE SERVICES INC,19801 BERRY ST,PINE GROVE,CA,95665,CWA,No,,
"ACH MAGNETIC, INC.",2828 METROPOLITAN PLACE,POMONA,CA,91767,CWA,No,,
ACI MEDICAL LLC,1857 DIAMOND ST,SAN MARCOS,CA,92078,CWA,No,,
ACME ACCESSORIES INC,13668 VALLEY BLVD SUITE G 1,CITY OF INDUSTRY,CA,91746,CWA,No,,
ACME FILL CORP,950 WATERBIRD WAY,MARTINEZ,CA,94553,CWA,No,,
ACME SAFETY AND SUPPLY CORP,1616 WEST AVENUE,NATIONAL CITY,CA,91950,CWA,No,10/06/2021,
ACME SALVAGE N INC,1885 SEBASTOPOL RD,SANTA ROSA,CA,95407,CWA,No,03/28/2022,
ACORN ENGINEERING CO,BLDG 1 15125 PROCTOR,CITY OF INDUSTRY,CA,91746,CWA,Yes,,
ACORN ENGINEERING CO,17451 HURLEY ST,CITY OF INDUSTRY,CA,91744,CWA,Yes,,
ACORN PRESS INC,9726 B AERO DR,SAN DIEGO,CA,92123,CWA,No,,
ACOSTA SHEET METAL MFG INC,930 REMILLARD CT,SAN JOSE,CA,95122,CWA,No,12/11/2019,
ACP NOXTAT INC,1112 E WASHINGTON AVE,SANTA ANA,CA,92701,CWA,No,,
ACP NOXTAT INC,1112 E WASHINGTON AVE,SANTA ANA,CA,92701,CWA,No,07/26/2021,
ACP NOXTAT INC,1112 E WASHINGTON AVE,SANTA ANA,CA,92701,CWA,No,,
ACRA AEROSPACE LLC,2121 E VIA BURTON,ANAHEIM,CA,92806,CWA,No,,
ACRA AEROSPACE LLC,2121 EAST VIA BURTON AVENUE,ANAHEIM,CA,92806,CWA,Yes,,
ACRA BALL MANUFACTURING CO,1029 E SOUTH ST,ANAHEIM,CA,92805,CWA,No,09/21/2018,
ACRA ENTERPRISES INC,5760 THORNWOOD DRIVE,GOLETA,CA,CA,CWA,No,,
"ACRA INDUSTRIES, INC",6120 QUAIL VALLEY CT,RIVERSIDE,CA,92507,CWA,Yes,10/31/2022,
ACRATECH INC,2502 SUPPLY ST,POMONA,CA,91767,CWA,No,,
"ACRATECH, INC.",2502 SUPPLY STREET,POMONA,CA,91767,CWA,No,,
ACROMIL LLC,18421 RAILROAD STREET,CITY OF INDUSTRY,CA,91748,CWA,Yes,05/14/2021,
ACROMIL LLC,1168 SHERBORN STREET,CORONA,CA,92879,CWA,No,,
ACRYLATEX COATINGS AND RECYCLING INC,1001 W KIRKWALL RD,AZUSA,CA,91702,CWA,No,,
ACRYLONICS LLC,656 STOCKTON AVE,SAN JOSE,CA,95126,CWA,No,08/31/2023,
ACT FULFILLMENT INC,3155 UNIVERSE DR,JURUPA VALLEY,CA,91752,CWA,No,,
ACTION AUTO WRECKING INC,2243 DURFEE AVE,EL MONTE,CA,91732,CWA,No,12/03/2021,
ACTION DIECUTTING INC.,459 EAST ALONDRA BOULEVARD,ROSEWOOD,CA,90248,CWA,No,06/13/2018,
ACTION PLASTICS INC,645 SO SANTA FE STREET,SANTA ANA,CA,92705,CWA,No,,
ACTION RENTALS INC,6181 FRANKLIN BLVD,SACRAMENTO,CA,95824,CWA,No,06/07/2023,
ACTION SALES  METAL CO,1625 E PACIFIC COAST HWY,WILMINGTON,CA,90744,CWA,No,,
ACTIVE AUTO DISMANTLERS INC,15 28TH ST,SAN DIEGO,CA,92102,CWA,Yes,,
ACTIVE PLATING INC,1411 E POMONA ST,SANTA ANA,CA,92705,CWA,Yes,,
ACTIVE RECYCLING CO INC,5601 E VALLEY BLVD,LOS ANGELES,CA,90032,CWA,No,,
ACTIVE RECYCLING COMPANY INC,14300 BESSEMER STREET,VAN NUYS,CA,91410,CWA,No,05/30/2024,
ACUITY BRANDS LIGHTING INC LIGHTING CONTROL AND DESIGN,9144 DEERING AVE,CHATSWORTH,CA,91311,CWA,No,03/16/2018,
ACURA HONDA DISMANTLING INC,3664 OMEC CIRCLE  1,RANCHO CORDOVA,CA,95742,CWA,No,10/20/2017,
ACUSHNET CO,2819 LOKER AVE E,CARLSBAD,CA,92010,CWA,No,,
ACUSHNET COMPANY,1697 AND 1770 LA COSTA MEADOWS DRIVE,SAN MARCOS,CA,92078,CWA,No,06/29/2022,
ADAMS AND CHITTENDEN SCIENTIFIC GLASS COOPERATIVE CORP,2741 EIGHTH STREEET,BERKELEY,CA,94710,CWA,No,,
ADAMS IRON CO INC,811 N POINSETTIA ST,SANTA ANA,CA,92701,CWA,Yes,,
ADAMS IRON CO INC,827 POINSETTIA ST N,SANTA ANA,CA,92701,CWA,No,06/18/2018,
ADAPT AUTOMATION INC,1661 PALM ST,SANTA ANA,CA,92701,CWA,No,02/26/2020,
ADATA TECHNOLOGY USA CO LTD,880 COLUMBIA ST,BREA,CA,92821,CWA,No,,
ADDONICS TECHNOLOGIES INC,1918  JUNCTION AVE.,SAN JOSE,CA,95131,CWA,No,,
ADELAIDA CELLARS INC,5805 ADELAIDA RD,PASO ROBLES,CA,93446,CWA,No,,
ADELANTO METAL RECYCLING INC,12325 HIBISCUS RD,ADELANTO,CA,92301,CWA,No,,
ADHESIVE PRODUCT INC,520 CLEVELAND AVE,ALBANY,CA,94710,CWA,No,,
ADM GOLDEN GOLDEN PEANUT COMPANY LLC MODESTO,2407 TENAYA DRRIVE,MODESTO,CA,95354,CWA,No,,
ADM GOLDEN PEANUT COMPANY LLC P&D LODI,1230 S FAIRMONT AVE,LODI,CA,95240,CWA,No,,
ADM MILLING CO,1543 CALADA ST,LOS ANGELES,CA,90023,CWA,No,,
ADM RICE INC,1603 OLD HWY 99 W,ARBUCKLE,CA,95912,CWA,No,,
ADMIXTURES INC,13651 E LIVE OAK LANE,IRWINDALE,CA,91706,CWA,No,08/13/2019,
ADR REFRIGERATION INC,12637 LOS NIETOS ROAD #A,SANTA FE SPRINGS,CA,90670,CWA,No,,
ADRIAN SPORTS INC,3007 BUNSEN AVE,VENTURA,CA,93003,CWA,No,,
ADRIANO DESIGN INC,244 WEST 140TH STREET,LOS ANGELES,CA,90061,CWA,No,08/09/2019,
ADS GOLD INC,3843 E EAGLE DR,ANAHEIM,CA,92807,CWA,No,05/31/2018,
ADURO BIOTECH INC,740  HEINZ AVE,BERKELEY,CA,94710,CWA,No,,
ADVANCE ADAPTERSNA INC.,4320 AEROTECH CENTER WAY,PASO ROBLES,CA,93446,CWA,No,,
ADVANCE ALUMINUM AWNING CO,20639 LYCOMING ST UNIT B2,DIAMOND BAR,CA,91789,CWA,No,03/16/2018,
ADVANCE ALUMINUM AWNING CO.,"20639 LYCOMING ST., UNIT B2",DIAMOND BAR,CA,91789,CWA,No,,
ADVANCE AUTO WRECKING INC,777 ENERGY WY C,CHULA VISTA,CA,91911,CWA,No,,
ADVANCE DISPOSAL INC MATERIAL,17105 MESA ST,HESPERIA,CA,92345,CWA,No,11/15/2023,
ADVANCE PAPER BOX CO,6001 AND 6100 S GRAMERCY PL,LOS ANGELES,CA,90047,CWA,No,05/13/2024,
ADVANCE PIPE BENDING AND ENGINEERING COMPANY,2020 EAST SLAUSON AVENUE,HUNTINGTON PARK,CA,90255,CWA,Yes,11/03/2017,
ADVANCE TECH PLATING INC,1061 N GROVE ST,ANAHEIM,CA,92806,CWA,No,,
ADVANCE TRADING CORP,610 W PARK ST,ONTARIO,CA,91762,CWA,No,,
ADVANCE TRADING CORP,13348 MONTE VISTA AVE,CHINO,CA,91710,CWA,No,,
ADVANCED ACRYLICS INC,3031 E CORONADO ST,ANAHEIM,CA,92806,CWA,No,,
ADVANCED BIONICS LLC,12740 SAN FERNANDO RD,SYLMAR,CA,91342,CWA,Yes,03/06/2018,
ADVANCED BIONICS LLC,28515 WESTINGHOUSE PLACE,VALENCIA,CA,91355,CWA,No,01/12/2018,
ADVANCED CASTING PATTERN INC,8416 SECURA WAY,SANTA FE SPRINGS,CA,90670,CWA,No,06/25/2018,
ADVANCED DIGITAL MANUFACTURING LLC,1343 E WILSHIRE AVE,SANTA ANA,CA,92705,CWA,No,,
ADVANCED ELECTROMAGNETIC INC,1320 AIR WING ROAD,SAN DIEGO,CA,92154,CWA,No,,
ADVANCED ELECTROMAGNETICS INC,9311 STEVENS RD,SANTEE,CA,92071,CWA,No,,
ADVANCED EQUIPMENT CORPORATION,2401 W COMMONWEALTH AVE,FULLERTON,CA,92833,CWA,No,06/25/2018,
ADVANCED FOAM INC,1745 134TH ST,GARDENA,CA,90249,CWA,No,02/13/2024,
ADVANCED GLOBAL CNC INC,999 RANCHEROS DRIVE SUITE A,SAN MARCOS,CA,92069,CWA,No,05/05/2022,
ADVANCED HONEYCOMB TECHNOLOGIES CORPORATION,1015 LINDA VISTA DR BLDG C,SAN MARCOS,CA,92078,CWA,No,02/11/2025,
ADVANCED IMAGE DIRECT INC,1415 SOUTH ACACIA AVENUE,FULLERTON,CA,92831,CWA,No,,
"ADVANCED MACHINING & TOOLING, INC",13535 DANIELSON STREET,POWAY,CA,92064,CWA,No,,
ADVANCED MACHINING AND TOOLING INC,13535 DANIELSON STREET,POWAY,CA,92064,CWA,No,,
"ADVANCED MACHINING PRODUCTS, INC.",438 CALLE SAN PABLO SUITE A,CAMARILLO,CA,93012,CWA,Yes,11/29/2022,
