facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
BNSF RAILWAY COMPANY - FARGO 27TH STREET RAIL YARD,40 27TH STREET N,FARGO,ND,58102,CWA,No,,482111
BNSF RAILWAY COMPANY - MINOT WEST RAIL YARD,350 27TH STREET NE,MINOT,ND,58703,CWA,No,,482111
"BNSF RAILWAY, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BOBCAT COMPANY,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BOBCAT COMPANY,210 1ST AVE. NE,UNKNOWN,ND,58000,CWA,No,,
BOBCAT COMPANY,"250 EAST BEATON DRIVE, WEST FARGO, ND",UNKNOWN,ND,58000,CWA,No,02/24/2016,
BOBCAT COMPANY - GWINNER MANUFACTURING,210 1ST AVE SE,GWINNER,ND,58040,CWA,No,01/27/2026,
BOBCAT COMPANY - GWINNER MANUFACTURING,210 1ST AVE SE,GWINNER,ND,58040,CWA,No,,
BOBCAT COMPANY - WAHPETON,2101 11TH ST N,WAHPETON,ND,58075,CWA,No,08/02/2023,333120
BOBCAT COMPANY-BISMARCK MANUFACTURING FACILITY,521 S 22ND ST,BISMARCK,ND,58501,CWA,No,08/29/2023,333120
BOBCAT COMPANY-GWINNER MANUFACTURING FACILITY,210 1ST AVE NE,GWINNER,ND,58040,CWA,No,08/02/2023,333120
BODEN DEVELOPMENT LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BOE PIPELINE, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BOI-BOH, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BORDER STATES ELECTRIC INC.,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BORDER STATES INDUSTRIES, INC.","2400 38TH STREET S. FARGO, ND",UNKNOWN,ND,58000,CWA,No,,
BORDER STATES PAVING INC,CR-1337,PALERMO,ND,58769,CWA,No,,
BORDER STATES PAVING INC,70TH AVENUE NW,PALERMO,ND,78769,CWA,No,,
BORDER STATES PAVING INC,PIT OFF OF 64TH AVENUE NW,PALERMO,ND,58769,CWA,No,,
BORDER STATES PAVING INC - FARGO FACILITY 4-6,4101 32ND STREET NORTH,FARGO,ND,58103,CWA,No,04/12/2017,
BORDER STATES PAVING INC.,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BORDER STATES PAVING INC.,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BORDER STATES PAVING INC.,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BORDER STATES PAVING, INC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BORDER STATES PAVING, INC",HWY 23,JOHNSONS CORNER,ND,58854,CWA,No,,237310
"BORDER STATES PAVING, INC DRUM UNIT 4-3",4101 32ND STREET NORTH,FARGO,ND,58108,CWA,No,,
"BORDER STATES PAVING, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BORDER STATES PAVING, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BORDER STATES PAVING, INC.",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BOTTINEAU COUNTY – NDDOT JOB 23702 SITE – 1 BOTTINEAU CO. STRUCTURE,35TH AVE NW,MOHALL,ND,58761,CWA,No,,
BOTTINEAU COUNTY – NDDOT JOB 23702 SITE – 2 BOTTINEAU CO. STRUCTURE,COUNTY 20,MOHALL,ND,58761,CWA,No,,
BOULDER HOMES LLC,"2730 PAINTBALL WAY, LINCOLN",UNKNOWN,ND,58000,CWA,No,05/23/2018,
BOULDER HOMES LLC,4801 WEYBURN DR. BISMARCK,UNKNOWN,ND,58000,CWA,No,,
BOULDER HOMES LLC,3300 VALLEY DRIVE,UNKNOWN,ND,58000,CWA,No,,
BOULDER HOMES LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,08/19/2021,
BOULDER HOMES LLC,"3902 AND 3910 MERIDIAN DR., BISMARCK",UNKNOWN,ND,58000,CWA,No,,
BOULDER HOMES LLC,4713 CORVETTE ST. MANDAN,UNKNOWN,ND,58000,CWA,No,,
BOULDER HOMES LLC,3625 E. PRINCETON AVE.,UNKNOWN,ND,58000,CWA,No,,
"BOULDER HOMES, LLC",300 BAKER PLACE,UNKNOWN,ND,58000,CWA,No,,
BOULDER RIDGE DEV INC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,08/16/2013,
BOULDER RIDGE DEVELOPMENT INC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,03/15/2022,
BOULDER RIDGE DEVELOPMENT INC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BOUSTEAD ENTERPRISES LLC MINI STORAGE,3045 VERMONT AVE,UNKNOWN,ND,58000,CWA,No,,
"BOUSTEAD ENTERPRISES, LLC",4521 OTTAWA STREET,UNKNOWN,ND,58000,CWA,No,,
BOWMAN CO. AIRPORT AUTHORITY,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BOWMAN CO. COMMISSION,152ND AVE SW,UNKNOWN,ND,58000,CWA,No,06/10/2021,
"BOWMAN MARKET, INC.",312 HWY 12 EAST,UNKNOWN,ND,58000,CWA,No,,
BOWMAN WIND LLC -BOWMAN WIND PROJECT,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BOYD AND COMPANY CONSTRUCTION,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRAD PAUL ENTERPRISES INC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRAD PAUL ENTERPRISES INC.,"2413 E. NORTH POND DRIVE, WEST FARGO, ND",UNKNOWN,ND,58000,CWA,No,,
"BRAD PAUL ENTERPRISES, INC.",3347 47TH AVE S,UNKNOWN,ND,58000,CWA,No,,
BRADY WIND OPERATIONS LLC,NEAR 58 ST. SW AND 110 AVE. SW,UNKNOWN,ND,58000,CWA,No,,
BRANDT CROSSING LLC,4801 TIMBER PKWY S,UNKNOWN,ND,58000,CWA,No,,
BRANDT CROSSING LLC,4801 TIMBER PKWY S,UNKNOWN,ND,58000,CWA,No,,
BRANDT CROSSING LLC,5601 33RD AVE S,UNKNOWN,ND,58000,CWA,No,,
BRANDT CROSSING LLC,4801 TIMBER PKWY S,UNKNOWN,ND,58000,CWA,No,,
"BRANDT SENIOR LIVING PROPERTIES, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRAVO SIERRA AERO LLC,1705 19TH AVE N,UNKNOWN,ND,58000,CWA,No,,
BREKKE CUSTOM HOMES INC - 64TH & BREKKE WAY,1728 42ND ST,FARGO,ND,58104,CWA,No,,
BRIDGER PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIDGER PIPELINE LLC,455 NORTH POPLAR,CASPER,WY,82601,CWA,No,,
BRIDGER PIPELINE LLC,455 NORTH POPLAR,CASPER,WY,82601,CWA,No,,
BRIDGER PIPELINE LLC /BELLE FOURCHE PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIDGER PIPELINE LLC/BELLE FOURCHE PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIDGER PIPELINE LLC/BELLE FOURCHE PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIDGER PIPELINE LLC/BELLE FOURCHE PIPELINE LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BRIDGER PIPELINE, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BRIDGER PIPELINE, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIDGEWATER LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BRIDGEWOOD COMMUNITY, LLC",REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BRIGHAM CROSSINGS LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BROMLEY RANCH LLC,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
BROWN WILBERT COMPANY-FARGO,4525 S UNIVERSITY DR FARGO,FARGO,ND,58103,CWA,No,,
BROWN-WILBERT INC. - JAMESTOWN,1101 19TH ST SW,JAMESTOWN,ND,58401,CWA,Yes,,327390
BRYANTT METALS LLC,11161 HWY 52 WEST,BURLINGTON,ND,58722,CWA,No,,
BUCKTHORN LLC,100 BLOCK OF NORTH 5TH STREET,UNKNOWN,ND,58000,CWA,No,,
BUFFALO HOLDING LLC,"930 25TH ST SW, JAMESTOWN",UNKNOWN,ND,58000,CWA,No,,
BUILDERS MANAGEMENT AND INVESTMENT COMPANY,REMOTE LOCATION,UNKNOWN,ND,58000,CWA,No,,
"BULLROCK LLC, HOB #1",11033 30TH ST. NW,KEENE,ND,58847,CWA,Yes,,
"BULLROCK, LLC- ALFRED BROWN SWD",11033 30TH ST. W,KEENE,ND,58847,CWA,Yes,,
BURLINGTON NORTHERN OIL & GAS CO.,1.5 MILES EAST OF ND HWY 1806 ON 34TH STREET NW,UNKNOWN,ND,58000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
BURLINGTON RESOURCES OIL & GAS CO LP,(UNKNOWN ADDRESS),(UNKNOWN CITY),ND,00000,CWA,No,,
