insider_name,insider_title,company_name,ticker,shares_amount,price_per_share,total_value_usd,filing_date,urgency_score
Wood Anthony J.,CEO and Chairman BOD / Director / 10% Owner,"ROKU, INC",ROKU,25000.0,130.0,3250000.0,2026-06-12,4
Courtemanche Craig F. Jr.,Director,"PROCORE TECHNOLOGIES, INC.",PCOR,42421.0,45.29,1921247.0899999999,2026-06-12,4
Ozgen Mustafa,"Pres, Devices, Prod, and Tech","ROKU, INC",ROKU,10194.0,144.0,1467936.0,2026-06-12,4
Courtemanche Craig F. Jr.,Director,"PROCORE TECHNOLOGIES, INC.",PCOR,13701.0,44.69,612297.69,2026-06-12,3
Finazzo Christopher L.,Chief Commercial Officer,United Parks & Resorts Inc.,PRKS,8000.0,36.76,294080.0,2026-06-12,3
RIKER LAUREN,"Senior Vice President, Finance","Pacira BioSciences, Inc.",PCRX,6115.0,23.5,143702.5,2026-06-12,3
Fyfield Mai,Director,"ROKU, INC",ROKU,832.0,119.64,99540.48,2026-06-12,2
Hvid Kenneth,President and CEO / Director,TEEKAY CORP LTD,TK,6822.0,12.0414,82146.4308,2026-06-12,2
Mohamed Nicholas N,Principal Accounting Officer,Acushnet Holdings Corp.,GOLF,528.849,95.0,50240.655000000006,2026-06-12,2
